Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
integrative oncology near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me | integrative health near me,phrase (close variant),None,2
integrative pain medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
integrative therapeutics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
integrative wellness,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicines | integrative health near me,broad,None,2
intellectual medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical,broad,None,1
interactive health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
internal medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
internal medicine doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrated and functional medicine,broad,None,1
iron infusion minneapolis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medical clinic | holistic medicine Minneapolis,broad,None,2
iron infusion near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me | functional medicine near me,broad,None,2
is there a test for leaky gut,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical,broad,None,1
iv nutrient therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicines,broad,None,1
iv nutrition,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
iv therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,Excluded,1
jack kruse,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
jarred younger,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical doctors | functional medicine doctors near me,broad,None,2
jason fung,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
jason seib,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
jeffrey bland,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,phrase (close variant),None,1
jenelle kim,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
jennika tomashek,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine practitioner,phrase (close variant),None,1
joel fuhrman,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical physician | functional medicine doctors near me,broad,None,2
john nasseff medical center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
jordan clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
kampo medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical physician,broad,None,1
ken d berry md,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
keto doctor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
kim foster md coach,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area | functional medical physician,broad,None,2
kinesiology food testing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
kingdom healthcare,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area | integrative medicine doctors in my area,broad,None,2
laborers clinic hugo mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
lakeview clinic schedule appointment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
lakeview clinic watertown mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrated and functional medicine,broad,None,1
lakeville clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
laura padhye md,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
leah clark md,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
leaky gut symptoms,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
learn natural medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
leonid kim,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
life medical,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
life medical clinic st louis park,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
lifeforce vs function health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
lifespan health mn,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,best functional doctors near me | functional medical clinic | naturalist dr near me,broad | phrase (close variant),None,3
lifestyle medicine physician,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
lifewave doctors panel,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
lighthouse health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
lipid clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical physician,broad,None,1
lipidologist near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical,broad,None,1
lipidologist specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
lisa ganora,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
list of functional medicine doctors,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine practitioner,phrase (close variant),None,1
lite medical clinic,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Men's Health | Naturopath Near Me — Core | Women's Health & Hormones,functional medicine clinic near me | functional medicine doctors in my area | hormone doctor near me | men's health doctor near me | naturalist dr near me,broad,None,5
lite medical pllc,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional integrative medicine near me | functional medicine doctor hopkins,broad,None,2
live well chanhassen,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
live well functional medicine,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me | functional medicine doctors in my area | integrative medicine near me,broad,None,3
livea medical,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
livewell,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
living with chronic illness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
longevity clinics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
longevity clinics near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
longevity doctor,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor | functional integrative medicine near me | functional medical clinic | functional medicine | functional medicine doctors in my area | functional medicine near me | functional medicines | natural functional doctor,broad,None,8
longevity dr,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
longevity dr near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
longevity institute,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
longevity medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
longevity specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
longevity treatments,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
lori finlay,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,functional medical clinic | holistic dr near me,broad,None,2
lower cholesterol naturally,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
lumae functional health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
m health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine near me | natural medicine Minnesota,broad,Excluded,2
m health appointments,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
m health clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
m health clinics near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
m health specialty clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
maple grove north memorial,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me | functional medicine near me,broad,None,2
maple health clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
marathon health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
marathon health and wellness center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
mark hyman,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area | functional integrative doctor | functional medicine | functional medicine doctors near me,broad | phrase (close variant),None,4
mayo clinic health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative doctor,broad,None,1
mayo clinic minnesota,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional integrative doctor | functional medical physician | functional medicine doctors near me | natural medicine Minnesota,broad,None,4
mayo clinic mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
mayo clinic near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me | functional medicine near me,broad,None,2
mccall mcpherson,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical clinic,broad,None,1
md care minnetonka,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
medi health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
medical center near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
medical clinic,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,functional medicine doctors near me | naturopaths in my area,broad,None,2
medical diagnostics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
medical health center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
medicinal herbs near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
medicine herbs near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
meditation for migraine relief,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
meghan livingstone,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
meridian testing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
metabolic assessment test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical,broad,None,1
metabolic doctors,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
metabolic wellness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
metropolitan medical center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
mhealth,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me | integrative health near me,broad,None,2
mhealth clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me,broad,None,1
michael ruscio,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical physician,broad,None,1
microbiome test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
microbiome testing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
microbiome testing near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
micronutrient testing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
mid america medical associates,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
midwest integrated health clinic,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me | integrative medicine near me,broad,None,2
migraine doctor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
migrane,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
mimc,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
mindy pelz,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Women's Health & Hormones,functional integrative doctor | women's health naturopath,broad,None,2
mineral blood test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
minji digestive health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
minneapolis dexa scan,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minneapolis health center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minneapolis integrative medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minneapolis weight loss clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me,broad,None,1
minnesota care st paul mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minnesota center for homeopathy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
minnesota department of health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
minnesota digestive health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine doctor eden prairie | integrative medicine near me,broad,None,2
minnesota endocrinology,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
minnesota endocrinology clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
minnesota gastroenterology,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minnesota health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional doctor in my area,broad,None,2
minnesota health care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
minnesota healthcare,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area | integrative health near me,broad,None,2
minnesota integrative health studio,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minnesota medical,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
minnesota wellness center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical clinic,broad,None,1
minnetonka clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
minnetonka clinics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
minnetonka mn walk in clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
minute clinic near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine doctor hopkins | functional medicine practice near me | integrative medicine doctors in my area,broad,None,3
minute clinics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me,broad,None,1
minuteclinic near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,functional integrative medicine near me | functional medicine practice near me | naturopaths in my area,broad,None,3
miracle cure for osteoporosis,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
mn dept of health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
mn dr,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative doctor,broad,None,1
mn gi doctors,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
mn health clinics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me,broad,None,1
mn health services,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Pediatrics,functional medicine practitioner | natural pediatrician near me,broad,None,2
mn integrative,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
mn integrative health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
mn women's health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
mngi doctors,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
mngi physicians,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
mnhealth,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical clinic | functional medicine,broad,None,2
modern family medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
modern thyroid clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
mold toxicity treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
monumentum health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
moore integrative health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
morley robbins,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
moxibustion near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,Excluded,1
muscle testing near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me | functional medicine near me,broad,None,2
my functional health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,best functional doctors near me | functional medical clinic,broad,None,2
my medical clinic,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,alternative medicine near me | functional integrative medicine near me | natural medicine Minnesota,broad,None,3
my medical clinic pllc,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor | integrative medicine doctors in my area,broad,None,2
my medical clinic pllc eagan,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional medicine near me,broad,None,2
mychart hcmc,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
nad therapy near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
natalya lyadova,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
natural & healthy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
natural cure for acid stomach,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
natural gerd treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
natural glp 1 activation,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicines,broad,None,1
natural health stores near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
natural herb store near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine doctor eden prairie | functional medicine near me,broad,None,2
natural hormone therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
natural hygiene,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
natural medicine stores near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
natural paths,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
natural remedies for fatigue and tiredness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
natural ways to lower inflammation in the body,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
naturalistic doctors near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me | integrative health near me,broad | phrase (close variant),None,2
nature heals,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine doctors near me | functional integrative medicine near me | natural functional doctor,broad,None,3
natures health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
naturopath hair analysis,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicines,broad,None,1
naturopathic breast cancer treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
naturopathic doctor roseville,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
naturopathic longevity,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Women's Health & Hormones,integrative doctor | naturopath for hormones,broad | phrase (close variant),None,2
naturopathic medical doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me | natural functional doctor,broad,None,2
naturopathic pain relief,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
naturopaths,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrated and functional medicine,broad,None,1
nearby clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
