Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,Isnegative,Currencycode,MaxCPCCurrency,Qualityscore,SearchPredictedCtr,CreativeQualityScore,PostClickQualityScore,TopOfPageCpc,FirstpageCPC,FirstPositionCpc,EstimatedAddClicksAtFirstPositionCpc,EstimatedAddCostAtFirstPositionCpc,TrackingUrlTemplate,keywordlabels,Impressions,Clicks,interactions,engagements,Cost,Ctr,CPC,CPM,interactionrate,CostPerInteraction,Conversions,CostPerConversion,ConversionRate,ConversionValue,ROAS,EstimatedTotalConversions,EstimatedTotalConversionValue,EstimatedTotalConversionRate,CostPerAllConversion,SearchImpressionShare,SearchExactMatchImpressionShare,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,TopImpressionPercentage,AbsoluteTopImpressionPercentage,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToRank
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,pediatric naturopath,298624063855,Broad,enabled,Eligible,False,USD,2.4,6,Below average,Average,Above average,0.8,0.09,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.125,0.125,0,0,0,0,0,0,0,0,0,0,16,14,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,functional medicine for hormones,1656267935454,Phrase,removed,,False,USD,0,,,,,,,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.1333,,0,0,0.1,0.0999,0,0,0.9,0.9,0.5,0.5,15,13,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for PMS,1368219292309,Phrase,enabled,Eligible,False,USD,2.6,,,,,1.51,1.29,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.2222,,0,0,0.22,0.1111,0,0.11,0.78,0.78,1,0.5,9,7,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for fertility,344344850530,Phrase,enabled,Eligible,False,USD,2.6,,,,,36.43,0.78,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.5,0.0999,0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,1,1,4,2,1
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,women's hormone specialist near me,838763769492,Phrase,enabled,Eligible,False,USD,2.6,,,,,,,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,natural medicine Minnesota,2431240509058,Phrase,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic family medicine,357829242134,Phrase,enabled,Eligible,False,USD,0.01,,,,,6.19,2.7,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,0.0999,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic practitioner near me,381953148433,Broad,enabled,Eligible,False,USD,0.01,,,,,19.45,19.45,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.6667,0,0,0,0,0,0,0,0,10,9,7
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,best mens doctor near me,826174075160,Broad,paused,Eligible,False,USD,1.3,,,,,3.58,3.58,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.6667,0,0,0,0,0,0,0,0,10,9,7
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,male health doctor near me,387583490878,Broad,paused,Eligible,False,USD,1.3,,,,,4.21,4.21,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's hormone doctor near me,809666013980,Broad,removed,,False,USD,0,,,,,,,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0,0,0,0,0,0,0,0,0,10,9,0
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,alternative medicine doctors near me,297466350908,Phrase,enabled,Eligible,False,USD,2.5,,,,,12.03,12.03,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,Hashimoto's naturopath,2490112250808,Phrase,enabled,Eligible,False,USD,2.6,,,,,1.51,1.29,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.25,,0,0,0.25,0.25,0,0,0.75,0.75,1,1,4,3,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,holistic thyroid doctors near me,322522772528,Broad,removed,,False,USD,0,,,,,,,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,hormone doctor near me,64408445366,Phrase,enabled,Eligible,False,USD,2.6,,,,,,,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,natural hormone doctors near me,812915579250,Broad,removed,,False,USD,0,,,,,,,,,,,,1,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.9001,0,0,0,0,0,0,0,0,10,9,9
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,functional medicine doctors near me,300278964675,Broad,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,functional medicine practice near me,436847453242,Broad,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,holistic healthcare Minneapolis,2457285928074,Broad,enabled,Rarely served,False,USD,0.01,,,,,1.51,1.29,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturalist dr near me,393482794014,Broad,enabled,Eligible,False,USD,0.01,,,,,1.04,1.04,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor hopkins,2495044224613,Phrase,enabled,Rarely served,False,USD,2.6,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's hormone doctor near me,828039572868,Phrase,enabled,Eligible,False,USD,1.3,,,,,5.82,5.82,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,0.0999,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's physician near me,827344859410,Broad,paused,Eligible,False,USD,1.3,,,,,22.7,15.13,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,naturopath for men's health,1661929765868,Broad,removed,,False,USD,0,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,best naturopathic doctor near me,296836537841,Broad,enabled,Eligible,False,USD,2.5,,,,,3.79,3.79,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopath for allergies,352183546927,Broad,enabled,Eligible,False,USD,2.5,,,,,0.36,0.36,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopathic doctor near me,296621012791,Broad,removed,,False,USD,0,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopathic family medicine,302483789996,Broad,enabled,Eligible,False,USD,2.5,,,,,3.41,3.41,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,PCOS naturopath near me,1645808761396,Phrase,enabled,Eligible,False,USD,2.6,,,,,1.51,1.29,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,0.0999,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,natural help for perimenopause,298837563965,Broad,removed,,False,USD,0,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for hormone imbalance,385113812838,Phrase,enabled,Eligible,False,USD,2.6,,,,,0.79,0.76,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for pcos,314620853198,Broad,removed,,False,USD,0,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for thyroid,401323500207,Broad,removed,,False,USD,0,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for women's health,1185234437233,Phrase,enabled,Eligible,False,USD,2.6,,,,,1.51,1.29,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,thyroid doctor near me,306844731577,Phrase,enabled,Eligible,False,USD,2.6,,,,,8.39,8.39,,,,,,0,0,0,0,0,,,,,,0,,,0,,0,0,,,,0.0999,,,0,0,0,0,0,0,0,0,0,0,0
